植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
アデニウム,Adenium obesum,Desert rose / 砂漠のバラ（サバクノバラ）,キョウチクトウ科アデニウム属,東アフリカ〜アラビア半島（超乾燥地帯）,低（日向必須）,8℃以上（寒さに非常に弱い、冬は必ず暖かい室内の特等席へ、夏は屋外）,強い / 普通（冬の寒さと過湿厳禁）,室内リビング（日当たりの良い特等席窓際） / ベランダ（夏はガンガン日向）,乾燥気味（土の中まで完全に乾いてから、冬は断水）,「砂漠のバラ（デザートローズ）」。塊根植物（コーデックス）の絶対的エース。ゾウの足のようにボコッと肥大した最高の塊根幹から、夏にバラのようにド派手な真紅の大輪花が咲き誇る。冬は完全落葉して寝る。寒さ厳禁。,乾燥好む,中級者向け（冬の温度管理）,多肉植物（塊根植物・コーデックス）,5月〜9月（開花期・葉の全盛期）、冬は落葉してゴツゴツした塊根になる,幹：どっしりとユニークに肥大したウッディな塊根、花：バラのような鮮烈な赤・ピンク・白,樹高0.15m〜0.6m（卓上の芸術サイズ）,遅い,多肉・サボテンの土、または塊根植物専用土（軽石多め配合）,春（生育開始期の4〜5月）、2〜3年に1回,春〜夏の生育期に、薄い液肥を月に2回程度しっかり与えると、塊根が丸々太り花が爆発的に咲き誇る（冬は完全断肥）,根腐れ・寒さによる塊根の軟化（腐敗）,特になし,最大のルールは「冬の温度・水管理」。熱帯砂漠原産のため寒さに極めて弱い。秋の終わり（10月）に寒さで葉が全て黄色くなって落ち、完全な「ただの芋（休眠）」になる。冬の間（11〜3月）は完全に水を1滴も断ち（完全断水）、室内の15℃以上の暖かい場所に完全放置すること。水をやると一発で塊根の中がドロドロに腐って即死する。春になり温かくなったら少しずつ水やりを再開する。,剪定は基本的に不要。枝が長く伸びすぎてバランスが崩れたら、春（4〜5月）に好みの高さで切り戻すと、そこから細かく枝分かれして、より一層頭の詰まった丸い見事な盆栽風塊根樹形が作れる。,注意（キョウチクトウ科共通：全草、特に塊根の中の樹液に強い強心配糖体の猛毒を含むため、幼児やペットの誤食・植え替え時の液の付着には絶対厳禁注意）,,モダン / インダストリアル / メキシカン / デザイナーズ / 珍奇植物スタイル,1鉢置くだけでサバンナの奇奇怪怪な生命力をインドアに持ち込める、最高峰の塊根アート効果,仕事運・子宝・開運 / 花言葉「一目惚れ」「純な愛」「気高い心」,塊根植物を始めたい方への新築祝い / 男性への最高峰の誕生日ギフト / 開店祝い,通年安定（春夏に大量流通、秋冬は入荷減少。塊根ブームの主役）,室内窓際一等地・塊根植物（コーデックス）特設ステージ最前線,"3号実生（塊根太め）：1,500円 / 6号大株現地球風仕立て：8,000円〜25,000円"
キッコウリュウ,Dioscorea elephantipes,Elephant's foot / 亀甲竜（キッコウリュウ）,ヤマノイモ科ヤマノイモ属,南アフリカ原産（乾燥地帯）,中（半日陰OK）〜低,5℃以上（完全室内管理推奨、夏は完全休眠）,強い / 弱い（日本の真夏の猛暑に極めて弱く、夏は完全断水休眠）,室内リビング（明るい窓際、夏は涼しい日陰）,乾燥気味（夏は完全断水、秋〜春の冬型管理）,「珍奇植物の王様（亀甲竜）」。名前の通り、株元（ゴツゴツした芋）が成長するにつれて「本物のカメの甲羅（亀甲模様）」のようにバキバキに深く割れ目が入る塊根植物の最高峰。アデニウムと真逆の「冬型」のため、夏に完全断水で寝る。夏水厳禁。,乾燥好む（夏は完全断水）,上級者向け（夏の水管理）,多肉植物（冬型塊根植物・コーデックス）,秋〜春（ハート型の可愛いツル葉が旺盛に伸び、亀甲が最高の見頃）、夏は完全落葉休眠,塊根：本物のカメの甲羅そっくりにバキバキにひび割れた黒茶の芋、葉：可愛いハート型のつる葉,樹高0.1m〜0.4m（つるはトピアリーや支柱に絡ませる）,極めて遅い（亀甲が割れるまで何年もかかる）,多肉・サボテンの土、焼き赤玉・軽石主体の超高水はけ土,秋（生育開始期の9〜10月）、3年に1回程度,秋〜冬の生育期に、極めて薄い液肥を月に1回程度与えると、亀甲の割れ目が綺麗に大きく育つ（夏は絶対に断肥）,根腐れ・夏の蒸れによる芋の腐敗,特になし,最大のイベントであり最難関は「真夏の完全断水」。南アフリカの高地乾燥地帯原産のため日本の真夏の猛暑多湿が大の大の天敵。夏（6〜8月）になるとハートの葉が全て枯れて完全な「ただの木質の甲羅（休眠）」になる。ここで少しでも水をやると、一晩で自慢の甲羅の中身がドロドロに溶けて即死するため、完全に水を1滴も断ち、直射日光を100%遮断した風通しの良い極限の涼しい日陰に完全放置すること。9月後半に涼しくなると、甲羅の頂点から突如「緑のエイリアンの触手（つる）」がニュキニョキ立ち上がる。これが起きろのサイン。水やりを開始し、つるをワイヤーリング（支柱）に丸く絡ませて可愛いハートのカーテンを楽しむ。,剪定は完全不要。夏前に枯れたつるを、甲羅のキワからハサミでスパッとカットして片付けるのみ。ローメンテナンスの極み。,安全（日本のヤマイモの仲間、毒性はないが甲羅が硬くペットも食べないため完全安全）,インダストリアル / モダン / シック / 男前 / 幾何学的 / デザイナーズ,自然が作ったとは思えないバキバキの幾何学甲羅による、圧倒的なステータス性とマニアックアート美,金運・健康運・長寿（カメの甲羅） / 花言葉「長寿」「不屈の精神」,塊根植物ガチ勢への最高峰のプレミアムギフト / 経営者・エグゼクティブへの開店祝い,秋冬のみ（10〜12月に冬型塊根の目玉として市場に限定スポット入荷、即完売多し・超高価格帯）,室内窓際最大一等地・ビザールプランツ（珍奇植物）特設ガラスケース内・王座,"3号実生（亀甲のひび割れ始まり）：3,500円 / 7号巨大輸入株（バキバキの芸術大甲羅）：35,000円〜80,000円",
アロエディコトマ,Aloidendron dichotomum,Quiver tree / アロエ・ディコトマ（二岐アロエ）,ススキノキ科アロイドエンドロン属（旧アロエ属）,南アフリカ・ナミビア（超乾燥地帯）,低（日向必須）,3℃以上（耐寒性は比較的高い、冬は室内窓際管理）,強い / 普通（乾燥に極めて強い）,ベランダ（夏はガンガン日向） / 庭（夏） / 室内リビング（日当たり抜群の窓際）,乾燥気味（土の中まで完全にカチカチに乾いてからたっぷり）,「巨木化する幻のアロエ」。通常のベランダアロエと違い、幹が木質化してパオバブの木のように白く太く立ち上がり、成長するとY字型に「二岐（ディコトマ）」に美しく枝分かれする高級珍奇樹木。過湿厳禁。,乾燥好む,初心者向け,多肉植物（大型塊根アロエ）,通年（一生形が崩れない完璧なバオバブ風の樹形が見頃）,幹：白く美しく粉を吹いた極太の木質幹、葉：先端に放射状に広がる硬くシャープなブルーグリーン剣葉,樹高0.3m〜2m以上（サイズ豊富、野生は10m大木）,遅い,多肉・サボテンの土、砂利主体の高水はけ土,春（4〜5月）、2〜3年に1回一回り大きな高級鉢へ,ほぼ不要（春に緩効性肥料を少量置肥する程度。肥料がない方が幹がカチッと白く美しく育つ）,根腐れ,特になし,驚異的に強健で病害虫は一生無敵。唯一の弱点は「水のやりすぎによる過湿根腐れ」。土がしっかり中まで乾いたのを確認して水をやる。冬場はほぼ断水（月1回程度）で越冬させる。とにかく直射日光がガンガン当たる最高の特等席に置くことが最大のコツ（日不足は幹が細くなり型崩れする）。,剪定は完全不要。自然と成長するにつれて下方の古い葉が枯れて落ち、芸術的な白い極太幹が立ち上がってくる。枯れた下葉を順次カットするのみ。,安全（トゲが非常に細かく優しいため、一般のアロエより怪我の危険が低く安全。多量誤食はペット注意）,インダストリアル / モダン / 男前 / 西海岸風 / カリフォルニア / ドライガーデン,1鉢置くだけでお部屋がマダガスカルやアフリカの砂漠のようになる、圧倒的なバオバブ感と高級ステータス効果,風水・魔除け・健康運 / 花言葉「万能」「健康」「永遠の健康」,最高級の新築祝い / 開店祝い（デザイナーズオフィス・高級サロン） / 男性への特別な高級ギフト,通年安定（成長がミリ単位で遅いため高級・希少植物）,屋外日向一等地・大型ドライガーデン・サボテン塊根セレクトエリア,"4号鉢（幹太実生）：2,800円 / 8号特大幹立ち株（見事な二岐・一等地オブジェ）：25,000円〜50,000円",
蒼角殿,Bowiea volubilis,Climbing onion / 蒼角殿（ソウカクデン・クライミングオニオン）,キジカクシ科ボウィエア属,南アフリカ原産（乾燥地帯）,中（半日陰OK）〜低,5℃以上（完全室内管理推奨、夏は完全落葉休眠）,強い / 弱い（梅雨・夏の高温多湿に弱く、夏は寝る）,「生ける緑の玉葱（クライミングオニオン）」。まばゆいグリーンの光沢のある、剥きたての「タマネギ」そのものの巨大な球根が地上にゴロッと露出し、そこから極細のシダのような涼しげなツルが無限に伸びて絡みつく、超エキゾチック珍奇多肉。夏は断水寝る。,乾燥好む（夏は完全断水）,中級者向け（夏の水管理）,多肉植物（球根珍奇植物・冬型コーデックス）,秋〜春（みずみずしいグリーンのタマネギと繊細なツルが最高の見頃）、夏は完全落葉休眠,球根：地上に完全露出した、まばゆい翡翠グリーンの巨大な光沢球根、葉（ツル）：細かく裂けたレース状のツル,樹高0.1m〜0.5m（つるはワイヤーにあんどん仕立て多し）,早い（ツルの伸びは極めて早い、球根の成長は遅い）,多肉・サボテンの土、軽石・赤玉土主体の高水はけ土,秋（生育開始期の9〜10月）、2〜3年に1回,秋〜春の生育期に、ごく薄い液肥を月に1回程度与えると、タマネギ球根がツヤツヤと丸々太って超美しくなる（夏は絶対に断肥）,根腐れ・夏の蒸れによる球根の腐敗・球根の葉焼け（強烈な直射日光時）,特になし,最大のルールは「夏の完全断水」と「球根の保護」。夏（6〜8月）になると自慢の涼しげなツルが全て黄色く枯れて、完全な「ただのハゲたタマネギ（休眠）」になる。ここで水をやると球根が底からドロドロに腐って一発で即死するため、完全に水を断ち、風通しの良い涼しい日陰に完全放置すること。また、タマネギの球根表面は直射日光が強すぎると日焼けして茶色く醜く爛れてしまうため、直射を避けたレースカーテン越しの明るい半日陰で管理するのが最高のプロのコツ。秋になり涼しくなると、タマネギの頂点から突如「緑のアンテナ（新ツル）」がピョコンと立ち上がる。これが起床の合図。水やりを再開し、伸びるツルをワイヤーにぐるぐる巻きにして楽しむ。,剪定は完全不要。夏前に枯れたツルを、タマネギを傷つけないよう根元からハサミでスパッとカットして片付けるのみ。タマネギの表面の皮が自然と剥がれて、中からまばゆい剥きたてのみずみずしい翡翠グリーンの新肌が出る姿が極めて美しい。,危険（玉葱に酷似するがイヌサフラン等に近い強い有毒アルカロイド（ボウィアイン）を含むため、ペットや幼児の誤食は絶対厳禁。必ず手の届かない場所へ）,,モダン / 北欧ミニマル / ポップ / レトロ / カフェ風 / 珍奇植物スタイル,剥きたてタマネギから細かなレースのツルが絡みつく、唯一無二のポップでエキゾチックな癒やし効果,花言葉「そっと見守る」「神聖」,珍奇植物好きな方への特別なプチギフト / 女性へのユニークな誕生日プレゼント / 一人暮らし,秋冬のみ（10〜12月に冬型珍奇球根の目玉としてスポット入荷、即完売多し）,室内窓際半日陰・セレクトビザールプランツ・球根多勢コーナー,"3号鉢（球根径5cm）：1,500円 / 5号あんどん仕立て（巨大タマネギ玉）：4,800円",,
リプサリス パラドクサ,Rhipsalis paradoxa,Chain cactus / リプサリス・パラドクサ（サボテン・鎖編み）,サボテン科リプサリス属,ブラジル原産（熱帯雨林の樹上）,高（日陰OK）〜中,5℃以上（完全室内管理必須、エアコン直風絶対厳禁）,強い / 普通（多湿を好むが土の過湿はNG）,室内リビング（ハンギング・天井から吊るす） / 浴室 / キッチン,土が乾いたらたっぷり（乾燥に強いが、定期的な水やり）,「森林のサボテン」。砂漠のサボテンと真逆で、ジャングルの大木に着生するため、トゲが1本も無く、三方向にねじれた平たい茎が「本物の鎖（チェーン）」のように1m以上編み込まれて垂れ下がる、ハンギングの絶対王。日陰にめっぽう強い。,湿度好む（毎日数回の葉霧必須）,初心者向け,常緑性多年草（つる性・着生サボテン）,通年（年中ずっと鎖状の茎が長くしだれるタペストリー効果が見頃）,葉（茎）：トゲ完全なし、3本の稜が交互にねじれて完全な「鎖（チェーン）」の形をした多肉質の濃緑茎,長さ0.3m〜1.5m以上（下垂性）,早い,観葉植物の土（水はけ重視）またはベラボン主体配合,春（5〜6月）、根詰まりしたら2年に1回一回り大きな吊り鉢へ,春〜秋の生育期に、薄めた液肥を月に1回程度与えると、鎖の茎が太く長く見事に伸びる,根腐れ・寒さによる赤化,カイガラムシ・ハダニ,「日陰のハンギングに最強」。耐陰性が極めて高く、普通の観葉植物が枯れるような部屋の奥や暗い場所でも、全く型崩れせず美しい鎖の形を維持する。ただしジャングル原産のため空中の乾燥を嫌う。エアコンの風が直接当たると一発で茎がシワシワになるため避け、毎日のしっかりとした霧吹き（葉水）を行うのが綺麗に保つ最大のコツ。,剪定は基本的に不要。長くなりすぎて床につきそうになったら、ハサミで任意の場所をチョキンと切って良い（どこから切っても美観を損ねない）。切った茎を土や水苔に挿しておくだけで、極めて容易に発根して無限に増やせる。,安全（トゲ完全ゼロ、毒性なし、ペット（猫・犬）のいる家庭のハンギングに100%安全安心の代表格）,インダストリアル / モダン / シック / 男前 / デザイナーズ / ミニマル,コンクリート壁や天井から無骨な鎖（チェーン）のグリーンがしだれる、圧倒的に男前で洗練されたデザイナーズインテリア効果,花言葉「偉大」「燃える心」「あたたかい心」,一人暮らし（男性へ特に人気） / 新築祝い / おしゃれなカフェ・アパレルへの開店祝い / 吊り鉢ギフト,通年安定（インテリアハンギングとして近年凄まじい人気・品薄多し）,室内天井吊り下げ一等地・セレクトハンギンググリーンエリア主役,"3.5号吊り鉢：1,800円 / 5号ロング吊り鉢（長さ80cm以上の見事な鎖）：4,800円",
ダドレア属,Dudleya,Liveforever / ダドレア（ブリトニー・仙女盃など多様）,ベンケイソウ科ダドレア属,北米西岸・カリフォルニア沿岸（断崖絶壁）,中（半日陰OK）〜低,0℃以上（冬の寒さで本領発揮、冬型多肉の最高峰、夏は完全休眠）,強い / 弱い（梅雨・夏の高温多湿・長雨に世界一弱い、夏は完全断水休眠）,「世界一白い植物（仙女盃・ブリトニー）」。断崖絶壁の岩場に自生。全面に「チョークの粉」を限界突破で極厚に撒き散らしたような、まばゆい神聖な純白ロゼットが美しすぎる多肉の最高級。触ると粉が剥げて一生治らない。夏水厳禁。風が命。,乾燥好む（夏は完全断水）,上級者向け（粉の維持と夏の水管理）,多肉植物（冬型高級珍奇多肉）,秋冬〜春（最高の神聖な純白の見頃）、夏は下葉を枯らして強く休眠する,葉：極厚の白粉（チョーク粉）をびっしり纏った、完全な純白（プラチナホワイト）の芸術的ロゼット,樹高0.15m〜0.4m（こんもり大型化する品種あり）,極めて遅い,多肉・サボテンの土、軽石・山砂・焼き赤玉主体の極限超高水はけ土,秋（生育開始期の9〜10月）、成長が遅いため3年に1回で十分,ほぼ不要（秋に極めて薄い液肥を1回与える程度。肥料は白粉を薄くし形が崩れる原因に）,根腐れ・夏の蒸れドロドロ溶け・チョーク粉の剥げ（水がかかった時）,特になし,「触ること、雨に当てること、夏の水やりは完全絶対厳禁」。全面を覆う純白のチョーク粉は、雨に濡れたり、人間の指で触ると一瞬で剥げ落ちて汚い黒緑の地肌が露出し、その葉が枯れて生え変わるまでの数年間、二度と元に戻らない。水やりは必ず細口のジョーロで、葉に1滴も水をかけずに「株元の土に静かに」行うこと。最大の難関は「夏の完全断水」。夏（6〜8月）は完全に水を一切断ち、直射日光を遮断した、風通しの良い極限の涼しい場所に完全放置して寝かせること（下葉が激しく茶色く枯れ上がるが中の新芽を守っているため剥がさないこと）。,剪定は一生完全不要。自然と成長するにつれて下葉が枯れていくが、自生地の断崖絶壁のように枯れ葉をスカートのように株元に蓄えた姿（ワイルド仕立て）がマニア間で極めて神格化されて格好良いため、剥がさずに残すのがコツ。,安全（毒性なし、ただし触ると純白粉が剥げて大惨事になるため、子供やペットが触れない場所へ絶対配置）,シャビーシック / ホワイトインテリア / モダン / ラグジュアリー / スタイリッシュ,神の彫刻・リビングオブジェと呼ぶにふさわしい、造花を1000倍超越した圧倒的な純白のステータス効果,全体運アップ・神聖・魔除け / 花言葉「永遠」「不老長寿」,高級新築祝い / 高級サロン・ブティックへの開店祝い / 珍奇多肉植物コレクターへの最高峰ギフト,秋冬のみ（11〜1月に出荷される最高級インポート・マニア植物、高価格帯）,室内窓際雨の当たらない特設高級珍奇植物ガラスケース内・ＶＩＰ席,"3号鉢（ブリトニー実生）：2,500円 / 5号大株（見事な仙女盃・極厚チョーク粉）：8,000円〜18,000円",,,
フィランサス ミラビリス,Phyllanthus mirabilis,Phyllanthus mirabilis / フィランサス・ミラビリス,コミカンソウ科コミカンソウ属,タイ・ラオス原産（熱帯雨林の岩場）,中（半日陰OK）〜低,10℃以上（寒さに非常に弱い、完全室内管理必須、夏型コーデックス）,強い / 普通（夏の多湿が大好き）,室内リビング（明るい窓際） / サロン / 寝室,土が乾いたらたっぷり（夏の生育期は水が大好き、冬は断水）,「夜、眠る塊根植物」。ゴツゴツした赤茶色の綺麗な徳利（芋）から、赤〜銅色の美しい和紙のような葉が広がる大人気塊根植物。エバーフレッシュ同様、夜になると葉を綺麗にピタッと閉じて眠る（就眠運動）。冬は完全断水寝る。寒さ厳禁。,湿度好む,中級者向け（冬の温度管理）,多肉植物（夏型塊根植物・コーデックス）,5月〜10月（まばゆい銅葉の全盛期・夜間の就眠運動が最高潮）、冬はただの塊根の置物,幹：丸みを帯びたゴツゴツした美しい赤茶色の徳利状塊根、葉：和紙質感の美しいブロンズ赤〜新緑の複葉,樹高0.2m〜0.6m（卓上の手頃な芸術サイズ）,普通,多肉・サボテンの土、または塊根植物専用土（水はけ重視）,春（生育開始期の5月）、2〜3年に1回で十分,春〜夏の生育期に、薄い液肥を月に2回程度しっかり与えると、驚くほどツルが旺盛に伸び、自慢のタネ（塊根）が丸々太って超美しくなる（冬は絶対に断肥）,根腐れ・寒さによる塊根の腐敗・水切れによる葉の枯れ,特になし,最大のルールはアデニウム同様「冬の完全断水温度管理」。熱帯アジア原産のため寒さに極めて弱い。秋（10月）になり寒くなると、自慢のブロンズ葉が全て黄色くなってハラハラと落ち、完全な「ただの枯れた徳利の木（休眠）」になる。冬の間（11〜4月）は室内の最も暖かい場所（室温15℃以上を維持できる場所）に置き、水を完全に1滴も断つこと（完全断水）。水を少しでもやると塊根が底からブヨブヨに腐って一発で即死する。春（5月）になり、頂点から真っ赤な小さな新芽がポチッと出たら起床の合図。少しずつ水やりを開始する。夜間に葉を閉じる健気な姿が愛おしい。,剪定は完全不要。一本立ちでトックリからブワッと葉を広げる姿が最大の芸術。冬前に枯れた葉と枝を、トックリのキワからハサミでスパッとカットして冬越しさせるのみ。ローメンテナンス。,安全（毒性なし、ペット安心、トゲなしのため完全安全安心）,モダン / シック / アジアン /和モダン / ミニマル / 塊根スタイル,昼（ブロンズ葉が広がる）と夜（葉を閉じて眠る）で異なる圧倒的な「生きてる」癒やし効果と、丸い徳利幹のオブジェ美,仕事運・健康運・リラックス / 花言葉「すこやか」「平穏」,新築祝い / お洒落な一人暮らしへのギフト / 塊根植物（コーデックス）入門として男性への誕生日プレゼントに最高,春夏のみ（5〜8月に塊根ブームの主役として大量入荷、即完売多し）,室内窓際一等地・定番塊根植物（コーデックス）コーナー最前線,"3号鉢（タイ輸入実生株）：2,500円 / 5号大株（どっしり見事な丸徳利幹）：8,500円〜18,000円",
モロコエンシス,Kleinia morokoensis (Senecio morokoensis),Kenia ivy / クレイニア・モロコエンシス（王魚）,キキョウ科ではなくキク科クレイニア属（旧セネシオ属）,モロッコ・東アフリカ原産,低（日向必須）,5℃以上（完全室内管理推奨、冬は窓際、夏は屋外）,強い / 普通（乾燥に極めて強い）,ベランダ（夏はガンガン日向） / 室内リビング（日当たり抜群の窓際）,乾燥気味（土が中まで完全に乾いてからたっぷり）,別名「王魚（オウギョ）」。多肉質の四角いサボテンのような太い多肉茎が、ニョキニョキとサンゴのように枝分かれして立ち上がり、新芽の先端にだけ可愛いグリーンのヘラ葉がちょこんとつく、奇怪極まる冬型珍奇植物。過湿厳禁。,乾燥好む,初心者向け,多肉植物（塊根・奇怪多肉）,秋冬〜春（最高のプリプリ見頃）、秋に先端から真っ赤な可愛い筆状の花が咲く,茎：四角〜多角形の肉厚の節がある恐竜肌のライトグリーン、葉：先端にのみつくヘラ型の可愛い緑葉,樹高0.15m〜0.4m（コンパクト）,遅い,多肉・サボテンの土、砂利主体の高水はけ土,秋（9〜10月）、成長が遅いため3年に1回で十分,ほぼ不要（春と秋に気が向いたら薄い液肥を1回与える程度。過肥は茎が伸びて暴れる原因に）,根腐れ・夏の蒸れ腐れ（一発で茎が溶ける）,特になし,非常に強健で虫も病気も一切つかない。冬型植物のため、真夏（6〜8月）の猛暑時は成長が止まり、先端の葉を全て落として休眠する。この時期の水のやりすぎによる過湿・ムレだけが唯一の失敗原因のため、夏は水を極めて控えめ（または断水）にし、風通しの良い涼しい日陰で管理すること。日光が大好きで、日に当てるほど四角い多肉茎がカチッと太く頑強に育ち格好良くなる。,剪定は基本的に不要。茎が伸びすぎてバランスが崩れたり、別の鉢に増やしたい場合は、春か秋に節の節目でハサミでチョキンと切って良い。切り口を数日間乾燥させて土に挿しておくだけで、驚くほど簡単に根が出て無限に増やせる（サボテン同様）。,安全（トゲ完全なし、毒性なし、ペット安心、奇怪な姿のため食べられない）,インダストリアル / モダン / 男前 / 西海岸風 / ミニマル / 珍奇植物スタイル,サンゴかサボテンの子供のような、奇怪でポップなインドアオブジェ効果と圧倒的なマニアック感,仕事運・魔除け / 花言葉「たくましい」「個性的」,珍奇植物好きな男性への誕生日プチギフト / デスクのワンポイントインテリア / サボテンコレクターへ,通年安定（秋〜冬に流通増、マニア向けスポット入荷多し）,室内窓際日向・多肉植物・珍奇サボテンセレクトエリア,"3号ポット：600円 / 4.5号鉢（見事な群生サンゴ仕立て）：2,200円",
コチレドン属,Cotyledon,Cotyledon / コチレドン（熊童子・福娘など多様）,ベンケイソウ科コチレドン属,南アフリカ原産（半乾燥地帯）,中（半日陰OK）〜低,0℃以上（冬は室内の明るい窓際か霜の当たらない軒下、夏は休眠）,強い / 弱い（梅雨・夏の高温多湿に極めて弱く、夏は完全断水休眠）,「熊の手（熊童子）」。肉厚のふっくらした葉の先端に、ギザギザの赤い「爪」があり、全面が細かい毛に覆われた、まさに「子熊の手（肉球）」そのものの超超人気多肉。夏のムレ厳禁。,乾燥好む（夏は完全断水）,初心者向け（夏の水管理）,多肉植物（ロゼット・肉厚多肉）,秋冬〜春（最高のプリプリの熊の手見頃、冬に爪の赤みが激しく冴え渡る）、夏は休眠,葉：子熊の手、福娘のパウダーシルバー、全面に白い産毛、先端に可愛い赤〜黒紫の爪,樹高0.1m〜0.3m（こんもり枝分かれして小さな茂みになる）,遅い,多肉・サボテンの土、焼き赤玉・軽石主体の高水はけ土,秋（9〜10月）、2年に1回程度一回り大きな鉢へ,ほぼ不要（春と秋の生育期に、ごく薄い液肥を月に1回程度。過肥は腐る原因に）,根腐れ・夏の蒸れによる葉の一斉落葉（一発で全ての熊の手がポロポロ落ちて溶ける）,カイガラムシ,最大の難関であり唯一の注意点は「日本の真夏の高温多湿」。春秋型〜冬型のため、真夏（6〜8月）の猛暑時は完全に成長を止めて寝る。この時期に水をやると一発で蒸れて、可愛い熊の手の葉が全てポロポロと一斉に落ちて全滅する。夏は完全に水を断ち（断水）、直射日光を100%遮断した風通しの良い涼しい軒下か室内の日陰で完全放置して夏越しさせること。風が命。水やりは必ず葉に水をかけず株元に静かに。,剪定は基本的に不要。長年育てて枝が伸びすぎたら、春か秋に茎をハサミでカットして、土に挿しておくだけで簡単に発根して「熊の手のクローン」が増やせる。,安全（毒性なし、完全安全、子供にも大人気だが葉を強く触ると千切れるため注意）,北欧 / カントリー / ポップ / カジュアル / デスクまわり,触るだけで気絶するほど癒やされる、子熊の手の圧倒的なキュートさと肉球効果,全体運アップ・癒やし / 花言葉「枯れない愛」「幸福を告げる」「愛敬」,女性・子供への誕生日プチギフト（絶対喜ばれる） / ホワイトデー / 多肉寄せ植え用,通年安定（年中あるが冬に流通増、多肉植物の超定番トップクラス人気）,屋外・雨の当たらない多肉植物ひな壇メインステージコーナー最前線,"2.5号ポット（熊童子）：350円〜500円 / 4.5号鉢（見事な熊の手大群生）：1,800円",,,
コーヒーの木,Coffea arabica,Arabian coffee / コーヒーノキ,アカネ科コーヒーノキ属,エチオピア原産（熱帯雨林の低木）,中（半日陰OK）〜低,8℃以上（寒さに非常に弱い、冬は暖かい室内の特等席へ）,強い / 普通（水切れ注意）,室内リビング（明るい窓際） / オフィス / カフェ・キッチン,土が乾いたらたっぷり（水切れに注意）,「本物のコーヒーの木」。造花のようにクッキリと波打つ、強烈なプラスチック光沢のあるエメラルドグリーンの大葉が、年中ツヤツヤと美しい王道インテリアグリーン。水切れ・寒さに弱い。,湿度好む（毎日葉霧）,初心者向け,常緑性低木〜高木（インテリア観葉）,通年（年中ずっと強烈な光沢のある美しい大葉が見頃）、長年育てると白いジャスミン香の花と赤いコーヒー豆が実る,葉：波打つ、プラスチックのような強烈な光沢のある美しいエメラルドグリーン大葉、白い幹,樹高0.2m〜2m以上（ミニから大型までサイズ豊富）,早い,観葉植物の土、または一般的な培養土,春（5〜6月）、根詰まりしやすいため1〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回、あわせて定期的な液肥を与えると、光沢がより一層激しく美しくなる,根腐れ・水切れによる葉焼け・寒さによる一斉落葉,カイガラムシ・ハダニ,耐陰性は比較的高いが、本来は日光が大好き。できるだけ室内の明るい窓際に置くのが、葉の光沢を最強に保つコツ。乾燥すると葉先が茶色く枯れハダニが出るため、エアコンの風を完全に避け、毎日の霧吹き（葉水）をしっかり行うこと。寒さに弱いため冬は部屋の中央へ。,いつでも可能。成長が早く一本立ちで上にドンドン伸びる。好みの高さで春にトップの芯を止めると、横から枝が綺麗に何本も出て、お洒落なツリー状の樹形に仕立てられる。,安全（コーヒー豆の生植、全草に軽いカフェイン成分を含むためペットの多量誤食は避ける）,北欧 / モダン / ナチュラル / カントリー / カフェ風 / キッチン,もぎたてのコーヒーの葉による、圧倒的な清涼感と、お部屋が一気にオシャレなカフェのようになるインテリア効果,仕事運・金運・リラックス / 花言葉「一緒に休みましょう（コーヒータイム）」「心の安らぎ」,一人暮らし / 新築祝い / カフェ・飲食店への開店祝い / コーヒー好きな方への最高のギフト,通年安定（100均のミニから10号大型まで常時在庫がある超ド定番）,室内定番観葉・中〜大鉢・カフェ風インテリアコーナー最前線,"3号ミニ：400円 / 8号鉢（見事な３本立ちツリー仕立て）：10,000円",
